1980	1981	-inf	-5.5446
1878	1986	-18.982	-6.93497
1860	1977	-18.2889	-6.87083
1848	1979	-17.8834	-6.72955
1839	1983	-17.5957	-6.61545
1832	1974	-17.3726	-6.56579
1826	1975	-17.1902	-6.48661
1821	1950	-17.0361	-6.43316
1817	1942	-16.9026	-6.39888
1813	1943	-16.7848	-6.35149
1809	1951	-16.6794	-6.29176
1806	1945	-16.5841	-6.26996
1803	1945	-16.4971	-6.23995
1800	1947	-16.4171	-6.2037
1797	1954	-16.3429	-6.1604
1795	1944	-16.274	-6.16475
1792	1953	-16.2094	-6.11442
1790	1947	-16.1488	-6.11244
1787	1967	-16.0916	-6.04883
1785	1956	-16.0376	-6.04626
1783	1953	-15.9863	-6.03756
1781	1952	-15.9375	-6.02572
1779	1952	-15.891	-6.0113
1777	1953	-15.8465	-5.99428
1775	1956	-15.804	-5.97414
1773	1961	-15.7631	-5.94958
1771	2027	-15.7239	7.33575
1770	1951	-15.6862	-5.95956
1768	1958	-15.6498	-5.92869
1766	1986	-15.6147	-5.88208
1765	1954	-15.5808	-5.92302
